"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
Chile,,,,,0,,,,,,,,,,,,,,,,,-1.8856907,1.4532814,1.2946651,1.5618731,19.9,19.4,18.5,34,39,27,7,6.818182,1.1208131,7.6357498,23,-0.87,0,3.9512196,0,1,0.004392656,55.599998,8.7982521,-1,895.88556,0,1,0,0,0,0.33333334,7.818182,4.232656,0,1,0.78,0.53,0.51
Costa Rica,,,,,0,,,,,,,,,,,,,,,,,-1.3872191,0.57233608,0.69717741,0.58294618,26.1,26.1,24,38,38,27,7,7,0.24878472,7.1509542,15,,,7,0,1,,40.5,8.5265322,-1,392.23288,0,1,0,0,0,0.11111111,7.0454545,4.3579903,0,1,,,0.46
Switzerland,,,,,0,,,,,,,,,,,,,,,,,-3.1039729,2.101891,2.0884223,2.1540937,8.8000002,8.8000002,8.1000004,40,39,28,7,7,2.0600264,27.789818,68,0.74000001,1.9,7,0,0,0.20345403,70,10.091563,-0.097488046,337.79871,0,0,1,0,0,0.52222222,10,,0,,0.44,0.23,0.59
Uruguay,,,,,0,,,,,,,,,,,,,,,,,-0.26550245,0.71527112,0.94023651,1.3199824,50.5,53.599998,46.099998,36,39,28,7,1,0.43337426,7.07408,36,-0.37,0.99000001,5.0769229,0,1,-0.040920448,39.099998,8.9811945,-1,388.68735,0,1,0,0,0,0.36666667,7,4.2626801,0,1,0.51,0.29,0.38
Republic of Korea,,,,,0,,,,,,,,,,,,,,,,,-0.96522874,0.26511437,0.48307833,0.46517146,28.299999,26.799999,25.6,32,36,26,6,,0.70476741,12.02389,18,0.61000001,-1.37,3.5250001,0,0,-0.2044881,10.8,9.1394749,-1,1052.1578,0,0,1,0,0,0.41111112,8.636364,4.7706847,1,,0.53,0.45,0
Gambia,,,,,0,,,,,,,,,,,,,,,,,0.86859792,-0.44192848,-0.33165973,-0.6419161,46.099998,45.400002,40.900002,20,7,,2.8181818,,-0.49652043,1.2453161,,,,4.3333335,1,0,,2.7,7.1187096,,1381.199,1,0,0,0,1,0.14755556,8.272727,7.2930179,0,1,,,0.72
Brunei Darussalam,,,,,0,,,,,,,,,,,,,,,,,0.40228963,0.53874928,0.28681913,0.63663357,31.299999,29.9,31.200001,6,7,3,,,0.883726,40.766155,,,,,1,0,,,,,1253.5215,,,,,,,,,,,,,0.54
El Salvador,,,,,0,,,,,,,,,,,,,,,,,0.37412456,-0.90033668,-0.37256759,-0.38198525,46.5,45.200001,43,32,35,25,5,3,-0.5353545,3.8094923,19,-2.0599999,0.52999997,4.3055553,0,1,-0.33521461,12.7,8.2545242,-1,845.02716,0,1,0,0,0,0.15000001,5,4.3579903,0,1,0.86,0.76,0.16
Niger,,,,,0,,,,,,,,,,,,,,,,,0.93261868,-1.0909804,-1.0233498,-0.68559742,41.700001,39.700001,,23,26,20,4.4000001,,-1.0848724,0.47840816,,,,2.7,0,1,,,6.8271894,,1015.9941,0,1,0,0,1,0.17777778,5,5.9914646,0,1,,,0.68
Singapore,,,,,0,,,,,,,,,,,,,,,,,-2.048794,2.1698241,2.2647817,2.1536741,13.3,13.1,12.2,17,19,10,3,,2.1708629,25.527464,20,,,3.3076923,1,0,-0.17555514,,9.6918888,0.11439574,1169.5582,1,0,0,0,0,0.013555556,9.318182,2.8735647,1,1,0.81,0.79,0.4
