"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8402,1,0,0,Reported 5,5,high payout,1,0,0,20,1,1,0,0,6.25,1,8.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8403,1,0,0,Reported 5,5,high payout,1,0,0,18,1,1,1,0,6.25,1,4,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8404,1,0,0,Reported 5,5,high payout,1,0,0,18,1,1,1,0,0,1,1.3333334,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8405,1,0,0,Reported 4,4,high payout,0,0,0,20,1,0,1,0,0,1,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8406,1,0,0,Reported 1,1,low payout,0,0,0,19,1,1,0,0,0,0,2.3333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8407,1,0,0,Reported 5,5,high payout,1,0,1,19,1,1,1,0,12.5,1,8.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8408,1,0,0,Reported 4,4,high payout,0,0,1,18,1,1,1,0,6.25,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8409,1,0,0,Reported 6,0,low payout,0,1,0,24,1,1,1,0,0,1,8.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8410,1,0,0,Reported 6,0,low payout,0,1,1,22,1,1,1,1,0,1,10,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8411,1,0,0,Reported 4,4,high payout,0,0,0,21,1,1,0,0,6.25,0,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8412,1,0,0,Reported 5,5,high payout,1,0,0,19,1,0,1,0,0,1,7.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8413,1,0,0,Reported 4,4,high payout,0,0,0,19,1,1,1,1,0,0,10,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8414,1,0,0,Reported 1,1,low payout,0,0,0,23,1,1,1,0,12.5,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8415,1,0,0,Reported 6,0,low payout,0,1,0,25,1,1,1,0,0,1,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Amsterdam,University of Amsterdam,131113_1309,8416,1,0,0,Reported 5,5,high payout,1,0,1,26,1,1,0,0,0,1,9.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8501,1,0,0,Reported 5,5,high payout,1,0,1,22,1,1,0,1,0,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8502,1,0,0,Reported 2,2,low payout,0,0,1,21,1,1,0,0,0,1,8.666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8503,1,0,0,Reported 3,3,high payout,0,0,1,20,1,0,0,0,18.75,1,10,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8504,1,0,0,Reported 5,5,high payout,1,0,1,21,1,1,0,0,6.25,1,6.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8505,1,0,0,Reported 5,5,high payout,1,0,1,18,1,0,0,0,12.5,0,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8506,1,0,0,Reported 1,1,low payout,0,0,0,23,1,1,0,0,6.25,1,9.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8507,1,0,0,Reported 3,3,high payout,0,0,1,22,1,1,0,0,0,0,7.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8508,1,0,0,Reported 4,4,high payout,0,0,1,22,1,1,0,0,0,1,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8509,1,0,0,Reported 5,5,high payout,1,0,1,18,1,0,0,0,6.25,1,8.666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8510,1,0,0,Reported 5,5,high payout,1,0,1,20,1,1,0,1,0,0,4.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8511,1,0,0,Reported 3,3,high payout,0,0,0,25,1,1,0,0,6.25,1,8.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8512,1,0,0,Reported 3,3,high payout,0,0,1,21,1,1,0,0,0,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8513,1,0,0,Reported 6,0,low payout,0,1,0,28,1,1,0,0,0,1,9.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8514,1,0,0,Reported 4,4,high payout,0,0,0,23,1,0,0,0,6.25,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8515,1,0,0,Reported 3,3,high payout,0,0,0,25,1,1,0,1,6.25,1,6.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1110,8516,1,0,0,Reported 2,2,low payout,0,0,1,20,0,1,0,0,0,1,9.666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8601,1,0,0,Reported 5,5,high payout,1,0,1,26,1,1,0,1,10,1,2.3333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8602,1,0,0,Reported 4,4,high payout,0,0,0,19,1,0,0,0,0,1,7.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8603,1,0,0,Reported 1,1,low payout,0,0,1,22,1,0,0,0,5,1,7,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8604,1,0,0,Reported 4,4,high payout,0,0,0,22,1,0,0,1,5,1,3.6666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8605,1,0,0,Reported 3,3,high payout,0,0,1,21,1,1,0,0,0,1,7,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8606,1,0,0,Reported 3,3,high payout,0,0,0,24,1,0,0,1,10,1,8.666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8607,1,0,0,Reported 6,0,low payout,0,1,1,23,1,1,0,1,10,1,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8608,1,0,0,Reported 4,4,high payout,0,0,1,23,0,0,0,0,0,0,5.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8609,1,0,0,Reported 5,5,high payout,1,0,0,23,1,1,0,1,0,1,7.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8610,1,0,0,Reported 2,2,low payout,0,0,1,23,1,0,0,0,0,1,9.666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8611,1,0,0,Reported 2,2,low payout,0,0,1,21,1,1,0,0,5,0,7.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8612,1,0,0,Reported 2,2,low payout,0,0,1,20,1,1,0,0,5,1,7.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8613,1,0,0,Reported 3,3,high payout,0,0,1,24,1,1,0,0,0,1,7.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8614,1,0,0,Reported 3,3,high payout,0,0,0,20,1,1,0,0,5,1,7,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8615,1,0,0,Reported 5,5,high payout,1,0,1,24,1,0,0,1,10,0,9.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8616,1,0,0,Reported 4,4,high payout,0,0,0,23,1,1,0,0,0,1,9.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8617,1,0,0,Reported 1,1,low payout,0,0,1,23,1,0,0,1,0,1,6.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8618,1,0,0,Reported 6,0,low payout,0,1,1,23,0,0,0,1,0,1,10,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8619,1,0,0,Reported 5,5,high payout,1,0,1,24,1,0,0,0,0,1,6,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131114_1350,8620,1,0,0,Reported 4,4,high payout,0,0,0,19,1,0,0,0,5,1,5,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8701,1,0,0,Reported 4,4,high payout,0,0,1,23,1,0,0,0,0,1,6.3333335,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8702,1,0,0,Reported 4,4,high payout,0,0,1,23,1,1,0,0,0,0,8.666667,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8703,1,0,0,Reported 4,4,high payout,0,0,1,26,1,0,0,0,8.333333,1,8.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8704,1,0,0,Reported 4,4,high payout,0,0,0,24,1,0,0,0,8.333333,1,4.6666665,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8705,1,0,0,Reported 2,2,low payout,0,0,1,26,0,0,0,0,0,1,7,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8706,1,0,0,Reported 5,5,high payout,1,0,0,24,1,1,0,1,0,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8707,1,0,0,Reported 5,5,high payout,1,0,1,21,1,1,0,0,0,0,8.333333,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8708,1,0,0,Reported 1,1,low payout,0,0,1,20,1,1,0,0,0,1,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8709,1,0,0,Reported 1,1,low payout,0,0,1,22,1,0,0,1,0,1,8,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8710,1,0,0,Reported 4,4,high payout,0,0,1,26,0,0,0,0,0,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8711,1,0,0,Reported 6,0,low payout,0,1,1,24,1,0,1,1,0,1,1.3333334,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Netherlands,Groningen,University of Groningen,131115_1032,8712,1,0,0,Reported 2,2,low payout,0,0,0,19,1,1,0,0,0,1,9,-2.9014423,2.2158389,2.0762737,2.1284714,13.3,13.3,13,40,40,28,7,7,2.0758333,23.69352,80,0.70999998,1.39,7,0,1,0.51145768,74.199997,9.8543177,0,334.18127,0,1,0,0,0,0.58111107,10,,0,,,0.12,0.34
Austria,Vienna,University of Vienna,131204_1238,8802,1,15,0,Reported 3,3,high payout,0,0,0,23,1,0,0,0,4.1666665,1,9,-3.0699017,1.9328392,2.102963,1.3497154,10,9.8000002,9.5,40,39,28,7,3,1.9508954,23.284369,55,0.25,1.4299999,7,0,0,0.063698225,70.599998,9.8555136,0,344.36649,0,0,1,0,0,0.52444446,9.727273,,0,,,,0.15
Austria,Vienna,University of Vienna,131204_1238,8805,1,15,0,Reported 5,5,high payout,1,0,1,24,1,0,0,0,0,1,3.6666667,-3.0699017,1.9328392,2.102963,1.3497154,10,9.8000002,9.5,40,39,28,7,3,1.9508954,23.284369,55,0.25,1.4299999,7,0,0,0.063698225,70.599998,9.8555136,0,344.36649,0,0,1,0,0,0.52444446,9.727273,,0,,,,0.15
Austria,Vienna,University of Vienna,131204_1238,8806,1,15,0,Reported 6,0,low payout,0,1,1,21,1,0,0,0,4.1666665,0,7.6666665,-3.0699017,1.9328392,2.102963,1.3497154,10,9.8000002,9.5,40,39,28,7,3,1.9508954,23.284369,55,0.25,1.4299999,7,0,0,0.063698225,70.599998,9.8555136,0,344.36649,0,0,1,0,0,0.52444446,9.727273,,0,,,,0.15
